audit_type,country,branch,specification_id,order,overlap_status,evidence_completeness,source_paths,reuse_eligible,original_candidate_grid,selected_order,nearby_orders_tested,training_evidence,validation_evidence,notes
original_candidate_grid,,ordinary,,"(0, 1, 0)",original,complete,"[""code/04_models/arima/arima_screening.py"", ""results/arima/tables/arima_candidate_screening_training_2024.csv"", ""results/arima/tables/arima_shortlists_2024.csv"", ""results/arima/tables/arima_selected_2024.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_forecasts.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_jobs.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_summary.csv""]",True,"[""(0, 1, 0)"", ""(1, 1, 0)"", ""(0, 1, 1)"", ""(1, 1, 1)"", ""(2, 1, 0)"", ""(0, 1, 2)"", ""(2, 1, 1)"", ""(1, 1, 2)"", ""(2, 1, 2)"", ""(3, 1, 0)"", ""(0, 1, 3)""]","(2, 1, 2)","[""(1, 1, 1)"", ""(1, 1, 2)"", ""(2, 1, 1)"", ""(2, 1, 2)""]",candidate screening source read,validation source read,order in the frozen original candidate grid
original_candidate_grid,,ordinary,,"(1, 1, 0)",original,complete,"[""code/04_models/arima/arima_screening.py"", ""results/arima/tables/arima_candidate_screening_training_2024.csv"", ""results/arima/tables/arima_shortlists_2024.csv"", ""results/arima/tables/arima_selected_2024.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_forecasts.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_jobs.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_summary.csv""]",True,"[""(0, 1, 0)"", ""(1, 1, 0)"", ""(0, 1, 1)"", ""(1, 1, 1)"", ""(2, 1, 0)"", ""(0, 1, 2)"", ""(2, 1, 1)"", ""(1, 1, 2)"", ""(2, 1, 2)"", ""(3, 1, 0)"", ""(0, 1, 3)""]","(2, 1, 2)","[""(1, 1, 1)"", ""(1, 1, 2)"", ""(2, 1, 1)"", ""(2, 1, 2)""]",candidate screening source read,validation source read,order in the frozen original candidate grid
original_candidate_grid,,ordinary,,"(0, 1, 1)",original,complete,"[""code/04_models/arima/arima_screening.py"", ""results/arima/tables/arima_candidate_screening_training_2024.csv"", ""results/arima/tables/arima_shortlists_2024.csv"", ""results/arima/tables/arima_selected_2024.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_forecasts.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_jobs.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_summary.csv""]",True,"[""(0, 1, 0)"", ""(1, 1, 0)"", ""(0, 1, 1)"", ""(1, 1, 1)"", ""(2, 1, 0)"", ""(0, 1, 2)"", ""(2, 1, 1)"", ""(1, 1, 2)"", ""(2, 1, 2)"", ""(3, 1, 0)"", ""(0, 1, 3)""]","(2, 1, 2)","[""(1, 1, 1)"", ""(1, 1, 2)"", ""(2, 1, 1)"", ""(2, 1, 2)""]",candidate screening source read,validation source read,order in the frozen original candidate grid
original_candidate_grid,,ordinary,,"(1, 1, 1)",original,complete,"[""code/04_models/arima/arima_screening.py"", ""results/arima/tables/arima_candidate_screening_training_2024.csv"", ""results/arima/tables/arima_shortlists_2024.csv"", ""results/arima/tables/arima_selected_2024.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_forecasts.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_jobs.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_summary.csv""]",True,"[""(0, 1, 0)"", ""(1, 1, 0)"", ""(0, 1, 1)"", ""(1, 1, 1)"", ""(2, 1, 0)"", ""(0, 1, 2)"", ""(2, 1, 1)"", ""(1, 1, 2)"", ""(2, 1, 2)"", ""(3, 1, 0)"", ""(0, 1, 3)""]","(2, 1, 2)","[""(1, 1, 1)"", ""(1, 1, 2)"", ""(2, 1, 1)"", ""(2, 1, 2)""]",candidate screening source read,validation source read,order in the frozen original candidate grid
original_candidate_grid,,ordinary,,"(2, 1, 0)",original,complete,"[""code/04_models/arima/arima_screening.py"", ""results/arima/tables/arima_candidate_screening_training_2024.csv"", ""results/arima/tables/arima_shortlists_2024.csv"", ""results/arima/tables/arima_selected_2024.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_forecasts.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_jobs.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_summary.csv""]",True,"[""(0, 1, 0)"", ""(1, 1, 0)"", ""(0, 1, 1)"", ""(1, 1, 1)"", ""(2, 1, 0)"", ""(0, 1, 2)"", ""(2, 1, 1)"", ""(1, 1, 2)"", ""(2, 1, 2)"", ""(3, 1, 0)"", ""(0, 1, 3)""]","(2, 1, 2)","[""(1, 1, 1)"", ""(1, 1, 2)"", ""(2, 1, 1)"", ""(2, 1, 2)""]",candidate screening source read,validation source read,order in the frozen original candidate grid
original_candidate_grid,,ordinary,,"(0, 1, 2)",original,complete,"[""code/04_models/arima/arima_screening.py"", ""results/arima/tables/arima_candidate_screening_training_2024.csv"", ""results/arima/tables/arima_shortlists_2024.csv"", ""results/arima/tables/arima_selected_2024.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_forecasts.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_jobs.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_summary.csv""]",True,"[""(0, 1, 0)"", ""(1, 1, 0)"", ""(0, 1, 1)"", ""(1, 1, 1)"", ""(2, 1, 0)"", ""(0, 1, 2)"", ""(2, 1, 1)"", ""(1, 1, 2)"", ""(2, 1, 2)"", ""(3, 1, 0)"", ""(0, 1, 3)""]","(2, 1, 2)","[""(1, 1, 1)"", ""(1, 1, 2)"", ""(2, 1, 1)"", ""(2, 1, 2)""]",candidate screening source read,validation source read,order in the frozen original candidate grid
original_candidate_grid,,ordinary,,"(2, 1, 1)",original,complete,"[""code/04_models/arima/arima_screening.py"", ""results/arima/tables/arima_candidate_screening_training_2024.csv"", ""results/arima/tables/arima_shortlists_2024.csv"", ""results/arima/tables/arima_selected_2024.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_forecasts.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_jobs.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_summary.csv""]",True,"[""(0, 1, 0)"", ""(1, 1, 0)"", ""(0, 1, 1)"", ""(1, 1, 1)"", ""(2, 1, 0)"", ""(0, 1, 2)"", ""(2, 1, 1)"", ""(1, 1, 2)"", ""(2, 1, 2)"", ""(3, 1, 0)"", ""(0, 1, 3)""]","(2, 1, 2)","[""(1, 1, 1)"", ""(1, 1, 2)"", ""(2, 1, 1)"", ""(2, 1, 2)""]",candidate screening source read,validation source read,order in the frozen original candidate grid
original_candidate_grid,,ordinary,,"(1, 1, 2)",original,complete,"[""code/04_models/arima/arima_screening.py"", ""results/arima/tables/arima_candidate_screening_training_2024.csv"", ""results/arima/tables/arima_shortlists_2024.csv"", ""results/arima/tables/arima_selected_2024.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_forecasts.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_jobs.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_summary.csv""]",True,"[""(0, 1, 0)"", ""(1, 1, 0)"", ""(0, 1, 1)"", ""(1, 1, 1)"", ""(2, 1, 0)"", ""(0, 1, 2)"", ""(2, 1, 1)"", ""(1, 1, 2)"", ""(2, 1, 2)"", ""(3, 1, 0)"", ""(0, 1, 3)""]","(2, 1, 2)","[""(1, 1, 1)"", ""(1, 1, 2)"", ""(2, 1, 1)"", ""(2, 1, 2)""]",candidate screening source read,validation source read,order in the frozen original candidate grid
original_candidate_grid,,ordinary,,"(2, 1, 2)",original,complete,"[""code/04_models/arima/arima_screening.py"", ""results/arima/tables/arima_candidate_screening_training_2024.csv"", ""results/arima/tables/arima_shortlists_2024.csv"", ""results/arima/tables/arima_selected_2024.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_forecasts.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_jobs.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_summary.csv""]",True,"[""(0, 1, 0)"", ""(1, 1, 0)"", ""(0, 1, 1)"", ""(1, 1, 1)"", ""(2, 1, 0)"", ""(0, 1, 2)"", ""(2, 1, 1)"", ""(1, 1, 2)"", ""(2, 1, 2)"", ""(3, 1, 0)"", ""(0, 1, 3)""]","(2, 1, 2)","[""(1, 1, 1)"", ""(1, 1, 2)"", ""(2, 1, 1)"", ""(2, 1, 2)""]",candidate screening source read,validation source read,order in the frozen original candidate grid
original_candidate_grid,,ordinary,,"(3, 1, 0)",original,complete,"[""code/04_models/arima/arima_screening.py"", ""results/arima/tables/arima_candidate_screening_training_2024.csv"", ""results/arima/tables/arima_shortlists_2024.csv"", ""results/arima/tables/arima_selected_2024.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_forecasts.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_jobs.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_summary.csv""]",True,"[""(0, 1, 0)"", ""(1, 1, 0)"", ""(0, 1, 1)"", ""(1, 1, 1)"", ""(2, 1, 0)"", ""(0, 1, 2)"", ""(2, 1, 1)"", ""(1, 1, 2)"", ""(2, 1, 2)"", ""(3, 1, 0)"", ""(0, 1, 3)""]","(2, 1, 2)","[""(1, 1, 1)"", ""(1, 1, 2)"", ""(2, 1, 1)"", ""(2, 1, 2)""]",candidate screening source read,validation source read,order in the frozen original candidate grid
original_candidate_grid,,ordinary,,"(0, 1, 3)",original,complete,"[""code/04_models/arima/arima_screening.py"", ""results/arima/tables/arima_candidate_screening_training_2024.csv"", ""results/arima/tables/arima_shortlists_2024.csv"", ""results/arima/tables/arima_selected_2024.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_forecasts.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_jobs.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_summary.csv""]",True,"[""(0, 1, 0)"", ""(1, 1, 0)"", ""(0, 1, 1)"", ""(1, 1, 1)"", ""(2, 1, 0)"", ""(0, 1, 2)"", ""(2, 1, 1)"", ""(1, 1, 2)"", ""(2, 1, 2)"", ""(3, 1, 0)"", ""(0, 1, 3)""]","(2, 1, 2)","[""(1, 1, 1)"", ""(1, 1, 2)"", ""(2, 1, 1)"", ""(2, 1, 2)""]",candidate screening source read,validation source read,order in the frozen original candidate grid
selected_model,Germany,ordinary,arima_p2_d1_q2,"(2, 1, 2)",selected,complete,"[""code/04_models/arima/arima_screening.py"", ""results/arima/tables/arima_candidate_screening_training_2024.csv"", ""results/arima/tables/arima_shortlists_2024.csv"", ""results/arima/tables/arima_selected_2024.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_forecasts.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_jobs.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_summary.csv""]",True,"[""(0, 1, 0)"", ""(1, 1, 0)"", ""(0, 1, 1)"", ""(1, 1, 1)"", ""(2, 1, 0)"", ""(0, 1, 2)"", ""(2, 1, 1)"", ""(1, 1, 2)"", ""(2, 1, 2)"", ""(3, 1, 0)"", ""(0, 1, 3)""]","(2, 1, 2)","[""(1, 1, 1)"", ""(1, 1, 2)"", ""(2, 1, 1)"", ""(2, 1, 2)""]",candidate screening source read,validation source read,selected order from original 2024 ARIMA results
selected_model,Austria,ordinary,arima_p2_d1_q2,"(2, 1, 2)",selected,complete,"[""code/04_models/arima/arima_screening.py"", ""results/arima/tables/arima_candidate_screening_training_2024.csv"", ""results/arima/tables/arima_shortlists_2024.csv"", ""results/arima/tables/arima_selected_2024.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_forecasts.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_jobs.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_summary.csv""]",True,"[""(0, 1, 0)"", ""(1, 1, 0)"", ""(0, 1, 1)"", ""(1, 1, 1)"", ""(2, 1, 0)"", ""(0, 1, 2)"", ""(2, 1, 1)"", ""(1, 1, 2)"", ""(2, 1, 2)"", ""(3, 1, 0)"", ""(0, 1, 3)""]","(2, 1, 2)","[""(1, 1, 1)"", ""(1, 1, 2)"", ""(2, 1, 1)"", ""(2, 1, 2)""]",candidate screening source read,validation source read,selected order from original 2024 ARIMA results
ordinary_enhanced_candidate,Germany,ordinary,enhanced_ordinary_arima_p1_d1_q1,"(1, 1, 1)",overlap,complete,"[""code/04_models/arima/arima_screening.py"", ""results/arima/tables/arima_candidate_screening_training_2024.csv"", ""results/arima/tables/arima_shortlists_2024.csv"", ""results/arima/tables/arima_selected_2024.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_forecasts.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_jobs.csv"", ""results/arima/validation_2024/full_validation/arima_validation_2024_summary.csv""]",True,"[""(0, 1, 0)"", ""(1, 1, 0)"", ""(0, 1, 1)"", ""(1, 1, 1)"", ""(2, 1, 0)"", ""(0, 1, 2)"", ""(2, 1, 1)"", ""(1, 1, 2)"", ""(2, 1, 2)"", ""(3, 1, 0)"", ""(0, 1, 3)""]","(2, 1, 2)","[""(1, 1, 1)"", ""(1, 1, 2)"", ""(2, 1, 1)"", ""(2, 1, 2)""]",country candidate row complete,no validation job evidence,exact ordinary specification can reuse original training evidence
