country,specification_id,specification_order,p,d,q,trend,fit_status,convergence_status,converged,parameters_finite,standard_errors_finite,stationarity_ok,invertibility_ok,eligible,nobs,n_params,log_likelihood,aic,aicc,bic,ar_root_minimum,ma_root_minimum,residual_rejected,residual_rejection_reason,warning_messages,hard_warning_messages,error_message,selected_d,residual_adequacy_flag
Germany,arima_p0_d1_q0,1,0,1,0,n,success,converged,True,True,True,True,True,True,35064,1,-322418.5238479502,644839.0476959004,644839.0478099841,644847.5125976228,inf,inf,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,1,True
Germany,arima_p1_d1_q0,2,1,1,0,n,success,converged,True,True,True,True,True,True,35064,2,-303780.8429523377,607565.6859046754,607565.686246936,607582.6157081202,1.2410659932533563,inf,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,1,True
Germany,arima_p0_d1_q1,3,0,1,1,n,success,converged,True,True,True,True,True,True,35064,2,-308227.89674644714,616459.7934928943,616459.7938351549,616476.723296339,inf,1.2882503092275477,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed)."", ""UserWarning: Non-invertible starting MA parameters found. Using zeros as starting parameters.""]",[],,1,True
Germany,arima_p1_d1_q1,4,1,1,1,n,success,converged,True,True,True,True,True,True,35064,3,-300965.3919663846,601936.7839327692,601936.78461731,601962.1786379365,1.4450164902654583,2.369798420970606,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,1,True
Germany,arima_p2_d1_q0,5,2,1,0,n,success,converged,True,True,True,True,True,True,35064,3,-300389.14601576707,600784.2920315341,600784.292716075,600809.6867367014,1.5448398181402645,inf,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,1,True
Germany,arima_p0_d1_q2,6,0,1,2,n,success,converged,True,True,True,True,True,True,35064,3,-302690.47646401403,605386.9529280281,605386.9536125689,605412.3476331953,inf,1.4141859742441396,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,1,True
Germany,arima_p2_d1_q1,7,2,1,1,n,success,converged,True,True,True,True,True,True,35064,4,-300388.70812614856,600785.4162522971,600785.417393231,600819.2758591868,1.56327736090115,67.66862657942033,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,1,True
Germany,arima_p1_d1_q2,8,1,1,2,n,success,converged,True,True,True,True,True,True,35064,4,-300500.7756249951,601009.5512499902,601009.5523909241,601043.4108568799,1.758206581999302,2.1026870196043217,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,1,True
Germany,arima_p2_d1_q2,9,2,1,2,n,success,converged,True,True,True,True,True,True,35064,5,-298685.2885566405,597380.577113281,597380.5788247306,597422.901621893,1.141892626667331,1.042003285982291,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,1,True
Germany,arima_p3_d1_q0,10,3,1,0,n,success,converged,True,True,True,True,True,True,35064,4,-300388.8706562761,600785.7413125522,600785.7424534861,600819.6009194419,1.5566982488908376,inf,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,1,True
Germany,arima_p0_d1_q3,11,0,1,3,n,success,converged,True,True,True,True,True,True,35064,4,-300877.4883611601,601762.9767223203,601762.9778632541,601796.83632921,inf,1.456673313956639,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,1,True
Austria,arima_p0_d1_q0,1,0,1,0,n,success,converged,True,True,True,True,True,True,35064,1,-254177.90355715112,508357.80711430224,508357.8072283859,508366.2720160246,inf,inf,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,1,True
Austria,arima_p1_d1_q0,2,1,1,0,n,success,converged,True,True,True,True,True,True,35064,2,-239045.90766969483,478095.81533938966,478095.8156816503,478112.7451428345,1.3152410222535498,inf,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,1,True
Austria,arima_p0_d1_q1,3,0,1,1,n,success,converged,True,True,True,True,True,True,35064,2,-243329.92348747613,486663.84697495226,486663.8473172129,486680.7767783971,inf,1.5324659620981855,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,1,True
Austria,arima_p1_d1_q1,4,1,1,1,n,success,converged,True,True,True,True,True,True,35064,3,-237791.10975764223,475588.2195152845,475588.2201998253,475613.6142204517,1.5117585971906886,3.688037235088584,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,1,True
Austria,arima_p2_d1_q0,5,2,1,0,n,success,converged,True,True,True,True,True,True,35064,3,-237105.0251372999,474216.0502745998,474216.0509591406,474241.444979767,1.7576491586648957,inf,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,1,True
Austria,arima_p0_d1_q2,6,0,1,2,n,success,converged,True,True,True,True,True,True,35064,3,-237409.7161762698,474825.4323525396,474825.4330370804,474850.8270577068,inf,1.3297513234988132,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,1,True
Austria,arima_p2_d1_q1,7,2,1,1,n,success,converged,True,True,True,True,True,True,35064,4,-235682.7262721185,471373.452544237,471373.45368517085,471407.3121511267,1.1129951333026054,1.060133786484211,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,1,True
Austria,arima_p1_d1_q2,8,1,1,2,n,success,converged,True,True,True,True,True,True,35064,4,-236448.83346308637,472905.6669261727,472905.6680671065,472939.5265330624,2.636829904522579,1.5461121945500498,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,1,True
Austria,arima_p2_d1_q2,9,2,1,2,n,success,converged,True,True,True,True,True,True,35064,5,-235355.09007434992,470720.18014869984,470720.18186014943,470762.5046573119,1.1500868387903187,1.0408761194058138,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,1,True
Austria,arima_p3_d1_q0,10,3,1,0,n,success,converged,True,True,True,True,True,True,35064,4,-236724.21718075132,473456.4343615027,473456.4355024365,473490.2939683924,1.382414421420551,inf,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,1,True
Austria,arima_p0_d1_q3,11,0,1,3,n,success,converged,True,True,True,True,True,True,35064,4,-236550.67187368777,473109.34374737553,473109.34488830937,473143.2033542652,inf,1.3936037744349652,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,1,True
