country,target_date,specification_id,diagnostic_type,fit_status,convergence_status,converged,optimizer_iterations,optimizer_function_calls,optimizer_message,optimizer_gradient_norm,parameters_finite,standard_errors_finite,forecast_valid,forecast_error_message,nobs,effective_nobs,n_params,log_likelihood,aic,aicc,bic,ar_root_minimum,ma_root_minimum,stationarity_ok,invertibility_ok,warning_messages,hard_warning_messages,optimizer_retry_count,residual_burn_in,residual_state_space_loglikelihood_burn,residual_conservative_burn_in,residual_n_effective,residual_adequacy_rejected,residual_rejected,residual_adequacy_reason,residual_rejection_reason,residual_diagnostic_warnings,residual_acf_values,residual_acf_threshold,residual_acf_flagged_lags,residual_ljung_box_statistics,residual_ljung_box_pvalues,status,error_message,analysis_label,runtime_seconds,reused_authoritative,reuse_source,residual_acf_168,residual_acf_168_flagged,worker_pid
Austria,2024-01-15,sarima_p1_d0_q0_P0_D1_Q0_s24,sarima_fit_and_residual,success,converged,True,,,,,True,True,True,,35384,35360,2,-230809.25527025416,461622.5105405083,461622.5108799036,461639.45721354184,1.0226055510424534,inf,True,True,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],0,48,24,48,35336,True,True,joint Ljung-Box and residual ACF rule,joint Ljung-Box and residual ACF rule,[],"{""1"": 0.6113061670465577, ""2"": 0.24738052747045355, ""3"": 0.0016193175022805937, ""4"": -0.07233063628159937, ""5"": -0.05213336814600118, ""6"": -0.007541411374801585, ""7"": 0.038298865692251716, ""8"": 0.03788715357968548, ""9"": 0.03028367999265202, ""10"": 0.020293892884243384, ""11"": 0.026042304562528353, ""12"": 0.011094456598346767, ""13"": -0.043946845608168354, ""14"": -0.11290054289213847, ""15"": -0.1525324900623923, ""16"": -0.1324215531175206, ""17"": -0.0764306370077582, ""18"": -0.021272744138840678, ""19"": 0.014765252455927278, ""20"": 0.0198870073248956, ""21"": -0.006512225503038819, ""22"": -0.06385859079652237, ""23"": -0.11875573301453804, ""24"": -0.23161148528328288, ""25"": -0.10526746702021361, ""26"": -0.047651362429358045, ""27"": -0.017532851657862197, ""28"": -0.015980342539129902, ""29"": -0.011563004229920465, ""30"": 0.0034610131662314624, ""31"": 0.019405951638173487, ""32"": 0.05163769189207068, ""33"": 0.05631744316341395, ""34"": 0.04683785347360917, ""35"": 0.0110519250852798, ""36"": -0.016494225374522123, ""37"": -0.0157215053071091, ""38"": 0.00033004728690378494, ""39"": 0.013920302787144586, ""40"": 0.0054642952006318125, ""41"": 0.00014885548551078886, ""42"": 0.006543828547159591, ""43"": 0.009710307220554505, ""44"": 0.014043896079347038, ""45"": -0.007332949362019045, ""46"": -0.06973710130628208, ""47"": -0.17381212009773336, ""48"": -0.23243035876691265}",0.05,"[1, 2, 4, 5, 14, 15, 16, 17, 22, 23, 24, 25, 32, 33, 46, 47, 48]","{""24"": 20576.598419897502, ""48"": 24568.35104000447}","{""24"": 0.0, ""48"": 0.0}",completed,,enhanced/post-hoc SARIMA robustness analysis,2.956668101978721,False,,0.5314098689506792,True,635411
Austria,2024-01-15,sarima_p1_d0_q0_P1_D1_Q0_s24,sarima_fit_and_residual,success,converged,True,,,,,True,True,True,,35384,35360,3,-229830.15044716734,459666.3008943347,459666.3015731445,459691.7209038849,1.02095678132903,inf,True,True,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],0,49,24,49,35335,True,True,joint Ljung-Box and residual ACF rule,joint Ljung-Box and residual ACF rule,[],"{""1"": 0.6252278223742846, ""2"": 0.24693772740120057, ""3"": -0.0056494485287437, ""4"": -0.08117798762294814, ""5"": -0.05873216639228915, ""6"": -0.014059442822208048, ""7"": 0.02750064806721761, ""8"": 0.02125394886836836, ""9"": 0.009042636476955468, ""10"": 0.005382486034380663, ""11"": 0.020014824131768732, ""12"": 0.010169587681233166, ""13"": -0.04729188474649306, ""14"": -0.12159198178960859, ""15"": -0.15991666419847844, ""16"": -0.13763668789498282, ""17"": -0.07631140068127074, ""18"": -0.02442384761863458, ""19"": 0.005644842092865783, ""20"": 0.007493443456082985, ""21"": -0.00901821634790316, ""22"": -0.02788461569308988, ""23"": -0.025210211916062764, ""24"": -0.06988657951445311, ""25"": -0.010107325441873195, ""26"": -0.009272930572538423, ""27"": -0.01922536777576901, ""28"": -0.029105768060601347, ""29"": -0.023080363749309524, ""30"": -0.0006281527622130816, ""31"": 0.026088886751820316, ""32"": 0.06152035764296152, ""33"": 0.06748223505884837, ""34"": 0.054439737585235494, ""35"": 0.0175333093068097, ""36"": -0.013686412154590214, ""37"": -0.021970059832101086, ""38"": -0.01705114445765962, ""39"": -0.008789764929262825, ""40"": -0.015136187619305567, ""41"": -0.012615319525258744, ""42"": 0.004492246020177298, ""43"": 0.016430605159563186, ""44"": 0.02509706838218283, ""45"": -0.0040159408284974425, ""46"": -0.09022328291505127, ""47"": -0.22530828188564928, ""48"": -0.3222976608403737}",0.05,"[1, 2, 4, 5, 14, 15, 16, 17, 24, 32, 33, 34, 46, 47, 48]","{""24"": 19027.363196157494, ""48"": 25374.09228294126}","{""24"": 0.0, ""48"": 0.0}",completed,,enhanced/post-hoc SARIMA robustness analysis,26.956409494014224,False,,0.5776402156268309,True,635412
Austria,2024-01-15,sarima_p1_d0_q1_P0_D1_Q0_s24,sarima_fit_and_residual,success,converged,True,,,,,True,True,True,,35384,35360,3,-223674.38921202012,447354.77842404024,447354.77910285007,447380.19843359047,1.03610126739983,1.795261032463939,True,True,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],0,48,24,48,35336,True,True,joint Ljung-Box and residual ACF rule,joint Ljung-Box and residual ACF rule,[],"{""1"": 0.1718560097665479, ""2"": 0.26118180996939505, ""3"": -0.0869481289847726, ""4"": -0.011020576689048123, ""5"": -0.040036329271841795, ""6"": 0.0033064468581863113, ""7"": 0.04610485720328617, ""8"": 0.021183204832455796, ""9"": 0.03353028927813261, ""10"": 0.006809001284023614, ""11"": 0.02835501702863359, ""12"": 0.017071185591139296, ""13"": -0.020088120415852163, ""14"": -0.06977233607447461, ""15"": -0.10088508648570878, ""16"": -0.08525570561667974, ""17"": -0.03957869016600442, ""18"": -0.016026892709309307, ""19"": 0.027503128976152584, ""20"": -0.0044542707474651815, ""21"": 0.03925357845091505, ""22"": -0.10305664067378746, ""23"": 0.034568006970627105, ""24"": -0.29366992693192073, ""25"": 0.04073913072248251, ""26"": -0.08366119477044857, ""27"": 0.026681449097863776, ""28"": -0.029123549522382313, ""29"": -0.004453362304421879, ""30"": 0.004671181546340499, ""31"": -0.001975687043640439, ""32"": 0.046477270620733833, ""33"": 0.024199798068510726, ""34"": 0.04008592032625495, ""35"": -0.0006941011763545154, ""36"": -0.016097908421155424, ""37"": -0.012758467251651884, ""38"": -0.0038306861797225552, ""39"": 0.01369894862679699, ""40"": -0.00110754789211885, ""41"": -0.006894243529493636, ""42"": 0.006751420506092319, ""43"": -0.0033217012030379352, ""44"": 0.014402123019848655, ""45"": -0.006476898759029099, ""46"": -0.032512755518360636, ""47"": -0.11645762284876314, ""48"": -0.1692740177051845}",0.05,"[1, 2, 3, 14, 15, 16, 22, 24, 26, 47, 48]","{""24"": 8371.111551432132, ""48"": 10453.966423369138}","{""24"": 0.0, ""48"": 0.0}",completed,,enhanced/post-hoc SARIMA robustness analysis,8.408306296012597,False,,0.4035895261406443,True,635412
Austria,2024-01-15,sarima_p1_d0_q1_P0_D1_Q1_s24,sarima_fit_and_residual,failed,converged,True,,,,,True,True,True,,35384,35360,4,-218152.85146426063,436313.70292852126,436313.704059903,436347.59627458826,1.0277789071416,1.0077970983655251,True,False,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],0,50,24,50,35334,True,True,joint Ljung-Box and residual ACF rule,joint Ljung-Box and residual ACF rule,[],"{""1"": 0.18340090789409233, ""2"": 0.2511280449263565, ""3"": -0.1146260537348174, ""4"": -0.01743594275341728, ""5"": -0.05966947516468215, ""6"": -0.01713814083573571, ""7"": 0.01813633616878779, ""8"": -0.01884116840627808, ""9"": -0.005899987734090744, ""10"": -0.03925766822902242, ""11"": 0.031064996382287265, ""12"": 0.00882428377638004, ""13"": -0.0031273662511189606, ""14"": -0.10140234726666285, ""15"": -0.0921882949335405, ""16"": -0.09898718310019834, ""17"": -0.03333821825259887, ""18"": -0.02635663144278589, ""19"": -0.005311108580260773, ""20"": -0.00037075796636422, ""21"": -0.024360297745659506, ""22"": 0.025912936964567746, ""23"": 0.06918704755158078, ""24"": 0.19202669051286864, ""25"": 0.07342603123457364, ""26"": 0.044472902080893155, ""27"": -0.03816746081528803, ""28"": -0.02146845929188423, ""29"": -0.03496268298637855, ""30"": -0.010021619665058027, ""31"": 0.0042598439034010815, ""32"": 0.03339221453890969, ""33"": 0.031880135219646305, ""34"": 0.017643015579059215, ""35"": 0.025336508727385118, ""36"": -0.01284728159518289, ""37"": -0.0007566341577183442, ""38"": -0.0495605614344259, ""39"": -0.015637184892319127, ""40"": -0.04031877219495193, ""41"": -0.02186263334633747, ""42"": -0.005352893488632416, ""43"": 0.000611368891422817, ""44"": 0.03231866360862629, ""45"": -0.008078975479163537, ""46"": -0.01686621060400892, ""47"": -0.11599809496232052, ""48"": -0.11404597072406067}",0.05,"[1, 2, 3, 5, 14, 15, 16, 23, 24, 25, 47, 48]","{""24"": 6738.58337753772, ""48"": 8385.995658093514}","{""24"": 0.0, ""48"": 0.0}",failed,combined MA roots fail invertibility threshold,enhanced/post-hoc SARIMA robustness analysis,64.5188657589897,False,,,False,635412
Austria,2024-01-15,sarima_p1_d0_q1_P1_D1_Q0_s24,sarima_fit_and_residual,success,converged,True,,,,,True,True,True,,35384,35360,4,-222034.98655240788,444077.97310481576,444077.9742361975,444111.8664508828,1.0322271546613222,1.7018555024532698,True,True,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],0,50,24,50,35334,True,True,joint Ljung-Box and residual ACF rule,joint Ljung-Box and residual ACF rule,[],"{""1"": 0.18797033426569157, ""2"": 0.2614416212372751, ""3"": -0.100132952144903, ""4"": -0.016015348540873334, ""5"": -0.048564446595161306, ""6"": 0.0005121868741385174, ""7"": 0.03614653991445525, ""8"": 0.009504167680710173, ""9"": 0.012214130072276844, ""10"": -0.004731061227119939, ""11"": 0.024728005434648148, ""12"": 0.017554793346244914, ""13"": -0.0192535581296474, ""14"": -0.08229095552997323, ""15"": -0.10197794905522266, ""16"": -0.09501299908581268, ""17"": -0.03247062144907292, ""18"": -0.01870024996457422, ""19"": 0.019958656030589585, ""20"": -0.008876731309502653, ""21"": 0.019906928268821775, ""22"": -0.05387201736613202, ""23"": 0.06519796931084998, ""24"": -0.08361535408693706, ""25"": 0.07196254455540597, ""26"": -0.03004608056249414, ""27"": 0.005985620074448431, ""28"": -0.03207921033803704, ""29"": -0.016453652346557934, ""30"": 0.0020981287686473345, ""31"": 0.007872406238920453, ""32"": 0.05373198186014575, ""33"": 0.03764136986252117, ""34"": 0.04437086824959644, ""35"": 0.007158732512488556, ""36"": -0.013109694529905415, ""37"": -0.015310260349800682, ""38"": -0.019705174661996915, ""39"": -0.004039991761961886, ""40"": -0.01888714718331889, ""41"": -0.016578177786697016, ""42"": 0.004644775265413805, ""43"": 0.0058724621713184, ""44"": 0.018943096750393046, ""45"": 0.012851390021986136, ""46"": -0.06962511928169283, ""47"": -0.120126757934153, ""48"": -0.30106811408163503}",0.05,"[1, 2, 3, 14, 15, 16, 22, 23, 24, 25, 32, 46, 47, 48]","{""24"": 5718.584906415917, ""48"": 10167.828889411232}","{""24"": 0.0, ""48"": 0.0}",completed,,enhanced/post-hoc SARIMA robustness analysis,,True,/root/electricity-demand-thesis/results/arima_sarima/validation_2024/full_validation,,False,
Austria,2024-01-15,sarima_p1_d0_q2_P0_D1_Q0_s24,sarima_fit_and_residual,success,converged,True,,,,,True,True,True,,35384,35360,4,-221661.29480471383,443330.58960942767,443330.5907408094,443364.48295549466,1.0550642721835055,1.7098625787631203,True,True,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],0,48,24,48,35336,True,True,joint Ljung-Box and residual ACF rule,joint Ljung-Box and residual ACF rule,[],"{""1"": 0.03657233684931585, ""2"": 0.050663295898989304, ""3"": 0.05766992282410272, ""4"": -0.07778121871069753, ""5"": 0.006220129844200979, ""6"": 0.013254256818998843, ""7"": 0.0463670294248531, ""8"": 0.02457407495375608, ""9"": 0.029743366587436475, ""10"": 0.004481908379469774, ""11"": 0.02673093637974324, ""12"": 0.030462926269410096, ""13"": -0.0070776187401013855, ""14"": -0.042572908307260925, ""15"": -0.07632469605854106, ""16"": -0.05782685965995746, ""17"": -0.0153306634559238, ""18"": -0.0064494875907405245, ""19"": 0.008184610656175284, ""20"": 0.04377201531111857, ""21"": -0.027302265610592825, ""22"": -0.032373569276518, ""23"": 0.06955756057959812, ""24"": -0.30759224092877124, ""25"": 0.06779481965172962, ""26"": -0.00829013515060987, ""27"": -0.03337348999384138, ""28"": 0.00801341418655376, ""29"": -0.01332130752133737, ""30"": 0.0011543767151463305, ""31"": -0.008046183390899972, ""32"": 0.036085255049942956, ""33"": 0.013301654156015677, ""34"": 0.030161792832678152, ""35"": -0.0017213457803820463, ""36"": -0.022871402708118008, ""37"": -0.011743600228484077, ""38"": -0.0065454772390276346, ""39"": 0.016816968445405145, ""40"": -0.008890702562375393, ""41"": -0.012650636972873145, ""42"": 0.005220595604160173, ""43"": -0.007980924287287269, ""44"": 0.006723083998158241, ""45"": -0.006081965250827865, ""46"": -0.005195335267090662, ""47"": -0.08044936007540877, ""48"": -0.15721399180100015}",0.05,"[2, 3, 4, 15, 16, 23, 24, 25, 47, 48]","{""24"": 4714.3997666875985, ""48"": 6168.3051870694335}","{""24"": 0.0, ""48"": 0.0}",completed,,enhanced/post-hoc SARIMA robustness analysis,7.154273243009811,False,,0.3541028204040956,True,635412
Austria,2024-01-15,sarima_p2_d0_q0_P0_D1_Q0_s24,sarima_fit_and_residual,success,converged,True,,,,,True,True,True,,35384,35360,3,-222029.96846024907,444065.93692049815,444065.937599308,444091.3569300484,1.13625460911937,inf,True,True,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],0,48,24,48,35336,True,True,joint Ljung-Box and residual ACF rule,joint Ljung-Box and residual ACF rule,[],"{""1"": 0.10430855103635292, ""2"": -0.04655425126359733, ""3"": -0.13972472194664898, ""4"": -0.07129759494078279, ""5"": 0.0022063128049949203, ""6"": 0.030384110418139078, ""7"": 0.08431108468154822, ""8"": 0.041013027059899426, ""9"": 0.03253799628027336, ""10"": 0.009733129765654146, ""11"": 0.046218943653984886, ""12"": 0.061974518890377764, ""13"": 0.02434536880848055, ""14"": -0.03300618470993832, ""15"": -0.07260896450251776, ""16"": -0.046677637476167565, ""17"": -0.0020185991872162944, ""18"": 0.023410452740276675, ""19"": 0.039387758836087874, ""20"": 0.039277075955755615, ""21"": 0.03349640023886355, ""22"": -0.010970589598850144, ""23"": 0.04324710156689203, ""24"": -0.28497318799462307, ""25"": 0.054667765830919625, ""26"": 0.019097752069666046, ""27"": 0.02401391818583533, ""28"": -0.009053363854797863, ""29"": -0.016881546682113602, ""30"": -0.0049193309851288565, ""31"": -0.01908007393298873, ""32"": 0.031031772382245665, ""33"": 0.017190223163004892, ""34"": 0.028019479609562505, ""35"": -0.013800972291461457, ""36"": -0.039385573700165315, ""37"": -0.026254795057959104, ""38"": -0.00604489483929899, ""39"": 0.015754096300376292, ""40"": -0.012482590437867518, ""41"": -0.022858317245637645, ""42"": -0.006998876087815221, ""43"": -0.011849844440873104, ""44"": 0.01619661929771739, ""45"": 0.028467021026257505, ""46"": 0.019670519750354703, ""47"": -0.08680456824045084, ""48"": -0.17027585627408157}",0.05,"[1, 3, 4, 7, 12, 15, 24, 25, 47, 48]","{""24"": 5359.868535543834, ""48"": 7068.858021031957}","{""24"": 0.0, ""48"": 0.0}",completed,,enhanced/post-hoc SARIMA robustness analysis,3.8962715300149284,False,,0.38678515915227535,True,635412
Austria,2024-01-15,sarima_p2_d0_q0_P1_D1_Q0_s24,sarima_fit_and_residual,success,converged,True,,,,,True,True,True,,35384,35360,4,-220513.74901745646,441035.4980349129,441035.49916629464,441069.3913809799,1.0532059589425962,inf,True,True,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],0,50,24,50,35334,True,True,joint Ljung-Box and residual ACF rule,joint Ljung-Box and residual ACF rule,[],"{""1"": 0.13719538447987442, ""2"": -0.06806659839392275, ""3"": -0.16054025622877516, ""4"": -0.08484476281724437, ""5"": 0.0017649138001529403, ""6"": 0.034448347198315875, ""7"": 0.08681279874143329, ""8"": 0.03677734571868878, ""9"": 0.014476806702775537, ""10"": 0.003653077079309349, ""11"": 0.0529976940780691, ""12"": 0.07657194772276069, ""13"": 0.031587736125864026, ""14"": -0.04137123033760892, ""15"": -0.07388697907525153, ""16"": -0.04892883605555182, ""17"": 0.015103001276417293, ""18"": 0.03311550180643166, ""19"": 0.04169262911190026, ""20"": 0.027187505986486834, ""21"": 0.0025361767272707096, ""22"": -0.02367322868386825, ""23"": 0.056050810387106895, ""24"": -0.07903720224255048, ""25"": 0.06954051363872678, ""26"": 0.011915091528713706, ""27"": -0.006774013243086329, ""28"": -0.022813029212816194, ""29"": -0.021449419106373595, ""30"": -0.004823114785618564, ""31"": -0.0037484125708397683, ""32"": 0.04118070583458323, ""33"": 0.030260269737149768, ""34"": 0.03088453447265094, ""35"": -0.006571734750077846, ""36"": -0.030377377331228073, ""37"": -0.022927453593305943, ""38"": -0.014797669358150503, ""39"": 0.0045704188063807934, ""40"": -0.022800113941063564, ""41"": -0.028756301337305584, ""42"": -0.00397879402348951, ""43"": -0.004507779125844868, ""44"": 0.036028458495640944, ""45"": 0.053273293683737184, ""46"": 0.0285393346386181, ""47"": -0.08779416614921541, ""48"": -0.2973606770945712}",0.05,"[1, 2, 3, 4, 7, 11, 12, 15, 23, 24, 25, 45, 47, 48]","{""24"": 3524.530799417628, ""48"": 7551.106330218915}","{""24"": 0.0, ""48"": 0.0}",completed,,enhanced/post-hoc SARIMA robustness analysis,33.52257854200434,False,,0.44680535097967883,True,635411
Austria,2024-01-15,sarima_p2_d0_q1_P0_D1_Q0_s24,sarima_fit_and_residual,success,converged,True,,,,,True,True,True,,35384,35360,4,-221642.19644468577,443292.39288937155,443292.3940207533,443326.28623543854,1.0924036787307492,4.960839968121925,True,True,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],0,48,24,48,35336,True,True,joint Ljung-Box and residual ACF rule,joint Ljung-Box and residual ACF rule,[],"{""1"": 0.010839979133508766, ""2"": 0.03914719294716299, ""3"": -0.09921770502543752, ""4"": -0.04169045600984886, ""5"": 0.00738819689232983, ""6"": 0.016813089089272756, ""7"": 0.07549526828652811, ""8"": 0.027469619165113895, ""9"": 0.033344042868691685, ""10"": 0.00483449570154148, ""11"": 0.0381865209449703, ""12"": 0.047417600457804715, ""13"": 0.013285167026661833, ""14"": -0.032934969364552966, ""15"": -0.0684516873821898, ""16"": -0.0448003489578645, ""17"": -0.007383821700245925, ""18"": 0.012604592361652246, ""19"": 0.028575688789316465, ""20"": 0.02506110689907943, ""21"": 0.029483495365816088, ""22"": -0.0417079298357162, ""23"": 0.07922185822846677, ""24"": -0.30463478481025313, ""25"": 0.0852083264858026, ""26"": -0.014993482217891227, ""27"": 0.020234650796088452, ""28"": -0.012443068025304508, ""29"": -0.014990280850540931, ""30"": 0.002195210772623929, ""31"": -0.020305901643177596, ""32"": 0.035029293722985584, ""33"": 0.01020197001814975, ""34"": 0.02955256671079527, ""35"": -0.010715487923074052, ""36"": -0.031163719974126633, ""37"": -0.019098681572553695, ""38"": -0.006803493715698739, ""39"": 0.015977232734959695, ""40"": -0.011407322818946113, ""41"": -0.01901889606897274, ""42"": -0.0015403427616131257, ""43"": -0.0133117495337869, ""44"": 0.011864551261251036, ""45"": 0.012919065713057763, ""46"": 0.011200041620601718, ""47"": -0.07913822564433357, ""48"": -0.15405232333536806}",0.05,"[3, 7, 15, 23, 24, 25, 47, 48]","{""24"": 4814.510548111449, ""48"": 6362.308820289474}","{""24"": 0.0, ""48"": 0.0}",completed,,enhanced/post-hoc SARIMA robustness analysis,6.550596981018316,False,,0.35646273598668354,True,635411
Austria,2024-01-15,sarima_p2_d0_q1_P1_D1_Q0_s24,sarima_fit_and_residual,success,converged,True,,,,,True,True,True,,35384,35360,5,-219856.65619366523,439723.31238733046,439723.314084451,439765.6790699142,1.0493000760877844,3.9310194043897586,True,True,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],0,51,24,51,35333,True,True,joint Ljung-Box and residual ACF rule,joint Ljung-Box and residual ACF rule,[],"{""1"": 0.015412446841637353, ""2"": 0.03837940630397542, ""3"": -0.1110318307111238, ""4"": -0.04752459241199355, ""5"": 0.007559036893689362, ""6"": 0.014880219497628818, ""7"": 0.07462198726906935, ""8"": 0.019992230324805408, ""9"": 0.015332039203980437, ""10"": -0.002234635127614467, ""11"": 0.040505705582706074, ""12"": 0.055576396702417256, ""13"": 0.01758369125572845, ""14"": -0.04279739529261235, ""15"": -0.06548857649414613, ""16"": -0.05041381035915285, ""17"": 0.008664517328373617, ""18"": 0.015616434759766217, ""19"": 0.029120715369324368, ""20"": 0.0157454624171278, ""21"": 0.006426652333463022, ""22"": -0.03998983451778738, ""23"": 0.07797280933414234, ""24"": -0.08554851966254787, ""25"": 0.08375316503020272, ""26"": -0.008027702324436434, ""27"": -0.00396746015460947, ""28"": -0.019867506532831116, ""29"": -0.017919826393872105, ""30"": 0.001953678970197261, ""31"": -0.0060347538189632005, ""32"": 0.04294390763233443, ""33"": 0.021880797201311378, ""34"": 0.03145053579196651, ""35"": -0.0034274201127858232, ""36"": -0.022697124499604072, ""37"": -0.015239052440974826, ""38"": -0.017214124242835166, ""39"": 0.005540457432982579, ""40"": -0.021639993165143773, ""41"": -0.025240959735757414, ""42"": 0.0025485031597642345, ""43"": -0.009769398155274158, ""44"": 0.026103205518121154, ""45"": 0.030475897491005172, ""46"": 0.0020424960217361463, ""47"": -0.05746497233193924, ""48"": -0.29474296891795765}",0.05,"[3, 7, 12, 15, 16, 23, 24, 25, 47, 48]","{""24"": 1871.233757095865, ""48"": 5594.9155558738075}","{""24"": 0.0, ""48"": 0.0}",completed,,enhanced/post-hoc SARIMA robustness analysis,41.699489099002676,False,,0.40752102245536426,True,635408
