path,model_family,purpose,row_count,countries,specifications,minimum_target_date,maximum_target_date,contains_2024_validation,contains_2025_testing,authority_status,source_file_size_bytes
results/arima/tables/arima_acf_pacf_training_2024.csv,arima,Analysis output,48,"[""Austria"", ""Germany""]",[],,,True,False,analysis,3673
results/arima/tables/arima_candidate_screening_training_2024.csv,arima,Selection/screening/table artifact,22,"[""Austria"", ""Germany""]","[""arima_p0_d1_q0"", ""arima_p0_d1_q1"", ""arima_p0_d1_q2"", ""arima_p0_d1_q3"", ""arima_p1_d1_q0"", ""arima_p1_d1_q1"", ""arima_p1_d1_q2"", ""arima_p2_d1_q0"", ""arima_p2_d1_q1"", ""arima_p2_d1_q2"", ""arima_p3_d1_q0""]",,,True,False,authoritative,10013
results/arima/tables/arima_differencing_diagnostics_2024.csv,arima,Diagnostic or comparison artifact,6,"[""Austria"", ""Germany""]",[],,,True,False,diagnostic,1787
results/arima/tables/arima_residual_diagnostics_training_2024.csv,arima,Diagnostic or comparison artifact,1144,"[""Austria"", ""Germany""]","[""arima_p0_d1_q0"", ""arima_p0_d1_q1"", ""arima_p0_d1_q2"", ""arima_p0_d1_q3"", ""arima_p1_d1_q0"", ""arima_p1_d1_q1"", ""arima_p1_d1_q2"", ""arima_p2_d1_q0"", ""arima_p2_d1_q1"", ""arima_p2_d1_q2"", ""arima_p3_d1_q0""]",,,True,False,diagnostic,87383
results/arima/tables/arima_selected_2024.csv,arima,Selection/screening/table artifact,2,"[""Austria"", ""Germany""]",[],,,True,False,authoritative,406
results/arima/tables/arima_shortlists_2024.csv,arima,Selection/screening/table artifact,4,"[""Austria"", ""Germany""]","[""arima_p2_d1_q0"", ""arima_p2_d1_q1"", ""arima_p2_d1_q2""]",,,True,False,authoritative,2168
results/arima/validation_2024/benchmark_threads_1_workers_4/arima_validation_2024_forecasts.csv,arima,Benchmark/runtime/fit diagnostic,420,"[""Austria"", ""Germany""]","[""ARIMA"", ""arima_p2_d1_q0"", ""arima_p2_d1_q1"", ""arima_p2_d1_q2""]",2024-02-14,2024-10-27,True,False,benchmark,111659
results/arima/validation_2024/benchmark_threads_1_workers_4/arima_validation_2024_jobs.csv,arima,Benchmark/runtime/fit diagnostic,12,"[""Austria"", ""Germany""]","[""arima_p2_d1_q0"", ""arima_p2_d1_q1"", ""arima_p2_d1_q2""]",2024-02-15,2024-10-27,True,False,benchmark,5901
results/arima/validation_2024/benchmark_threads_1_workers_4/arima_validation_2024_summary.csv,arima,Benchmark/runtime/fit diagnostic,4,"[""Austria"", ""Germany""]","[""arima_p2_d1_q0"", ""arima_p2_d1_q1"", ""arima_p2_d1_q2""]",,,True,False,benchmark,517
results/arima/validation_2024/benchmark_workers_1/arima_validation_2024_forecasts.csv,arima,Benchmark/runtime/fit diagnostic,420,"[""Austria"", ""Germany""]","[""ARIMA"", ""arima_p2_d1_q0"", ""arima_p2_d1_q1"", ""arima_p2_d1_q2""]",2024-02-14,2024-10-27,True,False,benchmark,111659
results/arima/validation_2024/benchmark_workers_1/arima_validation_2024_jobs.csv,arima,Benchmark/runtime/fit diagnostic,12,"[""Austria"", ""Germany""]","[""arima_p2_d1_q0"", ""arima_p2_d1_q1"", ""arima_p2_d1_q2""]",2024-02-15,2024-10-27,True,False,benchmark,5901
results/arima/validation_2024/benchmark_workers_1/arima_validation_2024_summary.csv,arima,Benchmark/runtime/fit diagnostic,4,"[""Austria"", ""Germany""]","[""arima_p2_d1_q0"", ""arima_p2_d1_q1"", ""arima_p2_d1_q2""]",,,True,False,benchmark,517
results/arima/validation_2024/benchmark_workers_2/arima_validation_2024_forecasts.csv,arima,Benchmark/runtime/fit diagnostic,420,"[""Austria"", ""Germany""]","[""ARIMA"", ""arima_p2_d1_q0"", ""arima_p2_d1_q1"", ""arima_p2_d1_q2""]",2024-02-14,2024-10-27,True,False,benchmark,111659
