country,specification_id,seasonal_period,authoritative_jobs,authoritative_forecast_dates,authoritative_diagnostic_dates,complete_reusable,reuse_source,analysis_label
Germany,sarima_p1_d0_q0_P0_D1_Q0_s24,24,0,0,0,False,/root/electricity-demand-thesis/results/arima_sarima/validation_2024/full_validation/sarima_validation_2024_jobs.csv,enhanced/post-hoc SARIMA robustness analysis
Germany,sarima_p2_d0_q0_P0_D1_Q0_s24,24,366,366,366,True,/root/electricity-demand-thesis/results/arima_sarima/validation_2024/full_validation/sarima_validation_2024_jobs.csv,enhanced/post-hoc SARIMA robustness analysis
Germany,sarima_p3_d0_q0_P0_D1_Q0_s24,24,0,0,0,False,/root/electricity-demand-thesis/results/arima_sarima/validation_2024/full_validation/sarima_validation_2024_jobs.csv,enhanced/post-hoc SARIMA robustness analysis
Germany,sarima_p1_d0_q1_P0_D1_Q0_s24,24,0,0,0,False,/root/electricity-demand-thesis/results/arima_sarima/validation_2024/full_validation/sarima_validation_2024_jobs.csv,enhanced/post-hoc SARIMA robustness analysis
Germany,sarima_p2_d0_q1_P0_D1_Q0_s24,24,0,0,0,False,/root/electricity-demand-thesis/results/arima_sarima/validation_2024/full_validation/sarima_validation_2024_jobs.csv,enhanced/post-hoc SARIMA robustness analysis
Germany,sarima_p1_d0_q2_P0_D1_Q0_s24,24,0,0,0,False,/root/electricity-demand-thesis/results/arima_sarima/validation_2024/full_validation/sarima_validation_2024_jobs.csv,enhanced/post-hoc SARIMA robustness analysis
Germany,sarima_p2_d0_q2_P0_D1_Q0_s24,24,0,0,0,False,/root/electricity-demand-thesis/results/arima_sarima/validation_2024/full_validation/sarima_validation_2024_jobs.csv,enhanced/post-hoc SARIMA robustness analysis
Germany,sarima_p1_d0_q0_P1_D1_Q0_s24,24,0,0,0,False,/root/electricity-demand-thesis/results/arima_sarima/validation_2024/full_validation/sarima_validation_2024_jobs.csv,enhanced/post-hoc SARIMA robustness analysis
Germany,sarima_p1_d0_q1_P1_D1_Q0_s24,24,0,0,0,False,/root/electricity-demand-thesis/results/arima_sarima/validation_2024/full_validation/sarima_validation_2024_jobs.csv,enhanced/post-hoc SARIMA robustness analysis
Germany,sarima_p2_d0_q0_P1_D1_Q0_s24,24,0,0,0,False,/root/electricity-demand-thesis/results/arima_sarima/validation_2024/full_validation/sarima_validation_2024_jobs.csv,enhanced/post-hoc SARIMA robustness analysis
Germany,sarima_p2_d0_q1_P1_D1_Q0_s24,24,0,0,0,False,/root/electricity-demand-thesis/results/arima_sarima/validation_2024/full_validation/sarima_validation_2024_jobs.csv,enhanced/post-hoc SARIMA robustness analysis
Germany,sarima_p1_d0_q1_P0_D1_Q1_s24,24,0,0,0,False,/root/electricity-demand-thesis/results/arima_sarima/validation_2024/full_validation/sarima_validation_2024_jobs.csv,enhanced/post-hoc SARIMA robustness analysis
Austria,sarima_p1_d0_q0_P0_D1_Q0_s24,24,0,0,0,False,/root/electricity-demand-thesis/results/arima_sarima/validation_2024/full_validation/sarima_validation_2024_jobs.csv,enhanced/post-hoc SARIMA robustness analysis
Austria,sarima_p2_d0_q0_P0_D1_Q0_s24,24,0,0,0,False,/root/electricity-demand-thesis/results/arima_sarima/validation_2024/full_validation/sarima_validation_2024_jobs.csv,enhanced/post-hoc SARIMA robustness analysis
Austria,sarima_p3_d0_q0_P0_D1_Q0_s24,24,0,0,0,False,/root/electricity-demand-thesis/results/arima_sarima/validation_2024/full_validation/sarima_validation_2024_jobs.csv,enhanced/post-hoc SARIMA robustness analysis
Austria,sarima_p1_d0_q1_P0_D1_Q0_s24,24,0,0,0,False,/root/electricity-demand-thesis/results/arima_sarima/validation_2024/full_validation/sarima_validation_2024_jobs.csv,enhanced/post-hoc SARIMA robustness analysis
Austria,sarima_p2_d0_q1_P0_D1_Q0_s24,24,0,0,0,False,/root/electricity-demand-thesis/results/arima_sarima/validation_2024/full_validation/sarima_validation_2024_jobs.csv,enhanced/post-hoc SARIMA robustness analysis
Austria,sarima_p1_d0_q2_P0_D1_Q0_s24,24,0,0,0,False,/root/electricity-demand-thesis/results/arima_sarima/validation_2024/full_validation/sarima_validation_2024_jobs.csv,enhanced/post-hoc SARIMA robustness analysis
Austria,sarima_p2_d0_q2_P0_D1_Q0_s24,24,0,0,0,False,/root/electricity-demand-thesis/results/arima_sarima/validation_2024/full_validation/sarima_validation_2024_jobs.csv,enhanced/post-hoc SARIMA robustness analysis
Austria,sarima_p1_d0_q0_P1_D1_Q0_s24,24,0,0,0,False,/root/electricity-demand-thesis/results/arima_sarima/validation_2024/full_validation/sarima_validation_2024_jobs.csv,enhanced/post-hoc SARIMA robustness analysis
Austria,sarima_p1_d0_q1_P1_D1_Q0_s24,24,366,366,366,True,/root/electricity-demand-thesis/results/arima_sarima/validation_2024/full_validation/sarima_validation_2024_jobs.csv,enhanced/post-hoc SARIMA robustness analysis
Austria,sarima_p2_d0_q0_P1_D1_Q0_s24,24,0,0,0,False,/root/electricity-demand-thesis/results/arima_sarima/validation_2024/full_validation/sarima_validation_2024_jobs.csv,enhanced/post-hoc SARIMA robustness analysis
Austria,sarima_p2_d0_q1_P1_D1_Q0_s24,24,0,0,0,False,/root/electricity-demand-thesis/results/arima_sarima/validation_2024/full_validation/sarima_validation_2024_jobs.csv,enhanced/post-hoc SARIMA robustness analysis
Austria,sarima_p1_d0_q1_P0_D1_Q1_s24,24,0,0,0,False,/root/electricity-demand-thesis/results/arima_sarima/validation_2024/full_validation/sarima_validation_2024_jobs.csv,enhanced/post-hoc SARIMA robustness analysis
